Element,Proximal/distal,Density
Carpometacarpus,Proximal,0.402
Carpometacarpus,Distal,0.68
Scapula,Proximal,0.271
Humerus,Proximal,0.213
Humerus,Distal,0.292
Ulna,Proximal,0.241
Ulna,Distal,0.326
Tarsometatarsus,Distal,0.58
Tarsometatarsus,Proximal,0.397
Femur,Proximal,0.226
Femur,Distal,0.255
Tibiotarsus,Proximal,0.222
Tibiotarsus,Distal,0.352
Radius,Proximal,0.471
Radius,Distal,0.32
Coracoid,Proximal,0.38
Coracoid,Distal,0.287
