Variable,Sites
Burning,"Franks Ruin, Homol’ovi IV, Pena Blanca, Alameda School, [RCAP]"
Butchering,*none*
Gnawing,"[Sand Canyon Pueblo, San Antonio de Padua (LA 24)]"
Weathering,"Pena Blanca, San Antonio, [Bryant Ranch]"
Fragmentation,"Pena Blanca, San Antonio, LA 12587 (Lagomorpha)"
Bone survivorship,"[SCARP]"
